timestamp,open,high,low,close,volume,symbol
2019-01-01,29.92,31.8,29.56,31.48,103182.73765,LTC
2019-01-02,31.47,33.29,31.07,32.67,118306.23317,LTC
2019-01-03,32.68,32.8,30.62,31.39,94129.85114,LTC
2019-01-04,31.41,32.53,30.78,31.76,108636.82193,LTC
2019-01-05,31.76,35.95,31.76,34.33,335581.55848,LTC
2019-01-06,34.33,39.71,33.89,38.3,761396.10676,LTC
2019-01-07,38.29,39.04,36.53,37.35,444975.92431,LTC
2019-01-08,37.35,40.8,36.91,38.7,522510.17142,LTC
2019-01-09,38.7,39.72,38.0,38.17,312030.13021,LTC
2019-01-10,38.17,38.77,31.0,32.81,584622.4539,LTC
2019-01-11,32.81,33.22,29.68,31.49,351182.38165,LTC
2019-01-12,31.48,32.13,31.07,31.65,178476.28718,LTC
2019-01-13,31.65,32.63,29.12,29.59,229264.11927,LTC
2019-01-14,29.6,32.5,29.38,31.71,255282.35801,LTC
2019-01-15,31.72,32.27,29.95,30.75,216841.86085,LTC
2019-01-16,30.74,31.93,30.47,31.29,153939.59622,LTC
2019-01-17,31.29,31.55,29.8,31.4,203218.00286,LTC
2019-01-18,31.38,31.53,30.31,30.77,150711.34444,LTC
2019-01-19,30.78,32.92,30.77,32.0,164989.63668,LTC
2019-01-20,31.94,33.2,28.45,30.64,249450.00408,LTC
2019-01-21,30.63,31.22,30.34,30.82,110305.75866,LTC
2019-01-22,30.82,32.0,29.48,31.41,199887.16257,LTC
2019-01-23,31.4,32.18,31.24,31.69,123577.27232,LTC
2019-01-24,31.69,33.1,30.89,32.51,138812.16216,LTC
2019-01-25,32.52,33.0,31.87,32.69,169242.53382,LTC
2019-01-26,32.68,33.95,32.57,32.8,166677.42808,LTC
2019-01-27,32.79,33.2,31.05,32.21,173697.81998,LTC
2019-01-28,32.22,32.53,30.0,30.94,267887.62942,LTC
2019-01-29,30.94,31.26,29.91,30.81,135879.8588,LTC
2019-01-30,30.8,31.97,30.47,31.68,129114.99705,LTC
2019-01-31,31.68,32.33,31.08,31.41,154708.17427,LTC
2019-02-01,31.43,33.64,30.7,32.65,335544.96445,LTC
2019-02-02,32.61,35.01,32.44,34.59,268052.52354,LTC
2019-02-03,34.59,34.89,32.86,33.44,348406.73224,LTC
2019-02-04,33.43,34.5,33.36,34.09,206649.66902,LTC
2019-02-05,34.08,34.54,33.63,34.34,214319.34235,LTC
2019-02-06,34.35,34.5,32.25,32.79,312456.54201,LTC
2019-02-07,32.78,33.61,32.73,33.24,144528.08084,LTC
2019-02-08,33.23,44.85,32.75,42.99,1237384.07012,LTC
2019-02-09,42.99,46.95,42.05,44.68,993529.35851,LTC
2019-02-10,44.68,47.59,42.0,46.79,667594.46229,LTC
2019-02-11,46.8,46.87,41.81,42.9,570398.48991,LTC
2019-02-12,42.88,44.57,41.84,43.89,326731.55801,LTC
2019-02-13,43.89,44.66,40.64,41.61,333914.84326,LTC
2019-02-14,41.61,42.45,40.31,41.26,285144.93739,LTC
2019-02-15,41.26,44.6,41.06,42.58,389950.95213,LTC
2019-02-16,42.6,44.37,42.28,43.34,326691.70793,LTC
2019-02-17,43.34,45.13,42.6,43.91,331698.79603,LTC
2019-02-18,43.89,49.03,43.62,47.84,744029.87121,LTC
2019-02-19,47.81,49.1,46.56,47.14,404786.75784,LTC
2019-02-20,47.16,52.21,46.25,51.5,566874.12073,LTC
2019-02-21,51.47,51.65,47.35,48.94,383781.90032,LTC
2019-02-22,48.93,49.97,48.08,49.19,265979.43489,LTC
2019-02-23,49.22,51.88,48.0,51.4,411115.3383,LTC
2019-02-24,51.39,53.53,42.37,43.75,685277.01608,LTC
2019-02-25,43.74,46.85,43.0,45.4,377273.17275,LTC
2019-02-26,45.4,45.89,44.06,44.76,220101.55494,LTC
2019-02-27,44.77,45.53,42.51,45.16,223940.94505,LTC
2019-02-28,45.15,46.7,44.44,45.61,258562.96779,LTC
2019-03-01,45.62,48.95,45.53,47.05,336011.92294,LTC
2019-03-02,47.02,49.4,46.38,48.49,325733.94735,LTC
2019-03-03,48.51,49.1,47.18,47.86,218511.99396,LTC
2019-03-04,47.87,48.22,44.57,45.78,306985.27977,LTC
2019-03-05,45.78,54.25,45.38,52.52,798938.10368,LTC
2019-03-06,52.52,56.81,51.11,55.37,670227.49403,LTC
2019-03-07,55.37,59.12,53.77,56.73,816612.77049,LTC
2019-03-08,56.73,57.6,54.3,55.61,440480.65904,LTC
2019-03-09,55.58,59.83,55.38,57.78,413625.10436,LTC
2019-03-10,57.78,58.04,55.84,56.59,198932.23727,LTC
2019-03-11,56.63,57.37,54.0,54.82,319640.84363,LTC
2019-03-12,54.82,56.96,53.72,56.58,186798.97334,LTC
2019-03-13,56.6,56.84,54.3,55.29,234206.35923,LTC
2019-03-14,55.29,58.2,51.66,55.94,333686.39631,LTC
2019-03-15,55.94,59.15,55.94,58.52,295307.77677,LTC
2019-03-16,58.52,61.97,58.41,61.21,375314.79266,LTC
2019-03-17,61.22,61.32,59.57,60.47,174833.31913,LTC
2019-03-18,60.47,62.63,58.2,59.17,301146.21398,LTC
2019-03-19,59.2,59.96,58.33,59.52,221995.59833,LTC
2019-03-20,59.5,60.74,56.64,60.27,285413.7934,LTC
2019-03-21,60.29,60.64,56.98,58.54,164946.60535,LTC
2019-03-22,58.54,59.6,58.0,59.26,184427.33587,LTC
2019-03-23,59.23,61.76,58.93,60.89,372961.54781,LTC
2019-03-24,60.88,60.9,58.84,59.82,360926.15706,LTC
2019-03-25,59.81,60.7,58.2,59.04,216703.66968,LTC
2019-03-26,59.06,59.35,57.23,58.79,175752.00925,LTC
2019-03-27,58.81,61.87,58.58,61.44,260971.73061,LTC
2019-03-28,61.43,61.43,60.15,60.5,160785.54618,LTC
2019-03-29,60.48,61.8,60.15,61.45,200422.34535,LTC
2019-03-30,61.41,61.56,59.59,60.45,161304.26128,LTC
2019-03-31,60.45,60.72,59.83,60.48,120015.86005,LTC
2019-04-01,60.47,60.9,59.62,60.45,129238.66121,LTC
2019-04-02,60.45,78.4,59.95,76.78,805505.16575,LTC
2019-04-03,76.76,98.5,76.24,85.19,1514710.29313,LTC
2019-04-04,85.02,89.85,79.85,84.7,775702.67217,LTC
2019-04-05,84.71,89.85,83.65,88.24,366668.99563,LTC
2019-04-06,88.24,97.54,85.0,92.21,706789.23459,LTC
2019-04-07,92.23,95.44,88.74,91.55,404878.13429,LTC
2019-04-08,91.55,94.0,85.2,88.57,439909.33843,LTC
2019-04-09,88.57,88.71,82.61,86.17,317748.78519,LTC
2019-04-10,86.19,91.1,85.91,88.16,315727.23676,LTC
2019-04-11,88.16,88.45,74.64,78.88,663804.98498,LTC
2019-04-12,78.9,80.43,75.0,78.47,351092.11924,LTC
2019-04-13,78.43,81.02,75.51,77.62,276710.7109,LTC
2019-04-14,77.58,83.6,76.09,83.28,242418.41303,LTC
2019-04-15,83.31,84.41,75.0,78.07,437925.65449,LTC
2019-04-16,78.06,81.49,76.88,80.27,295134.17728,LTC
2019-04-17,80.27,81.5,78.0,78.77,232336.81062,LTC
2019-04-18,78.82,83.66,78.74,81.68,328509.77037,LTC
2019-04-19,81.67,83.17,79.48,82.05,265365.49383,LTC
2019-04-20,82.05,82.69,79.33,81.15,209481.54759,LTC
2019-04-21,81.16,81.85,72.86,76.65,405449.35652,LTC
2019-04-22,76.61,77.63,74.9,76.51,285737.83886,LTC
2019-04-23,76.47,79.29,73.33,73.7,408341.22655,LTC
2019-04-24,73.67,74.69,69.9,72.85,466422.90922,LTC
2019-04-25,72.85,74.43,70.6,71.78,307408.70386,LTC
2019-04-26,71.79,76.5,70.31,73.82,345014.87676,LTC
2019-04-27,73.83,74.01,71.83,72.23,102336.98217,LTC
2019-04-28,72.24,72.72,68.95,69.89,218635.58959,LTC
